name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z
AircraftBuoyant\m1337.obj,AircraftBuoyant,201,340,340,0,0.9097200114154818,1.0000000125483464,0.9097200114154818
AircraftBuoyant\m1338.obj,AircraftBuoyant,8761,16960,16960,0,0.9558505383101331,1.0000000125483464,0.9609484331109452
AircraftBuoyant\m1339.obj,AircraftBuoyant,1878,6173,6173,0,0.6127073761095169,1.0000000125483464,0.6334863237386795
AircraftBuoyant\m1340.obj,AircraftBuoyant,778,1457,1457,0,0.3607221097896238,1.0000000125483464,0.3607252676844003
AircraftBuoyant\m1341.obj,AircraftBuoyant,425,824,824,0,0.37323684678876834,1.0000000125483464,0.37323684678876834
AircraftBuoyant\m1342.obj,AircraftBuoyant,1252,2305,2305,0,0.617460007748102,1.0000000125483464,0.6151157971923703
AircraftBuoyant\m1343.obj,AircraftBuoyant,178,344,344,0,0.7220221143233414,1.0000000125483464,0.7220221143233414
AircraftBuoyant\m1344.obj,AircraftBuoyant,1093,1930,1930,0,0.6832621138369676,1.0000000125483464,0.6832631664685597
AircraftBuoyant\m1345.obj,AircraftBuoyant,3174,6000,6000,0,0.606607376032972,1.0000000125483464,0.606607376032972
AircraftBuoyant\m1346.obj,AircraftBuoyant,742,1375,1375,0,0.31271474076615813,0.3470789517236879,1.0000000125483464
AircraftBuoyant\m1347.obj,AircraftBuoyant,3055,6274,6274,0,0.30219579326574164,0.4156642157422143,1.0000000125483464
AircraftBuoyant\m1348.obj,AircraftBuoyant,795,1382,1382,0,0.31230842497158584,0.3473242148846603,1.0000000125483464
AircraftBuoyant\m1349.obj,AircraftBuoyant,432,640,640,0,1.0000000125483464,0.3791610573894232,0.2617347401264435
AircraftBuoyant\m1350.obj,AircraftBuoyant,1097,1976,1976,0,1.0000000125483461,0.2803336877282505,0.2947600036987506
AircraftBuoyant\m1351.obj,AircraftBuoyant,12987,24466,24466,0,0.19294737084222308,0.2044663183551878,1.0000000125483464
AircraftBuoyant\m1352.obj,AircraftBuoyant,3298,6348,6348,0,1.0000000125483461,0.3701494783289743,0.3238115830106683
Apartment\D00045.obj,Apartment,14865,21021,21021,0,0.9802103907821575,0.9999999682914464,0.60235975063219
Apartment\D00086.obj,Apartment,20493,42064,42064,0,1.000000010648382,0.9351260858132897,0.3976065668485988
Apartment\D00138.obj,Apartment,10827,21140,21140,0,1.0000000025055789,0.7361619906823788,0.3314054148690443
Apartment\D00156.obj,Apartment,12732,19380,19380,0,1.0000000292991713,0.9319406758108348,0.725529936913105
Apartment\D00310.obj,Apartment,14464,9480,9480,0,0.9999999712100921,0.49710569236848023,0.3983993233770739
Apartment\D00348.obj,Apartment,2006,3008,3008,0,0.999999987282573,0.5853645149073461,0.6107464796894492
Apartment\D00366.obj,Apartment,1294,2540,2540,0,0.9999999900838527,0.8821798072426837,0.7271409357239534
